iter	Passed	Remaining
426	20552	27579
427	20591	27519
428	20632	27461
429	20675	27406
430	20718	27351
431	20770	27309
432	20815	27257
433	20862	27207
434	20896	27141
435	20934	27080
436	20970	27016
437	21005	26952
438	21046	26894
439	21083	26833
440	21127	26780
441	21171	26728
442	21213	26672
443	21259	26622
444	21310	26578
445	21352	26522
446	21391	26463
447	21426	26399
448	21463	26338
449	21498	26276
450	21534	26213
451	21574	26156
452	21618	26104
453	21662	26052
454	21708	26002
455	21754	25953
456	21821	25927
457	21880	25893
458	21923	25839
459	21956	25775
460	21997	25719
461	22031	25656
462	22067	25594
463	22106	25537
464	22146	25480
465	22184	25421
466	22226	25367
467	22269	25314
468	22318	25268
469	22361	25215
470	22395	25153
471	22431	25092
472	22463	25028
473	22500	24969
474	22543	24916
475	22581	24859
476	22627	24810
477	22670	24757
478	22709	24700
479	22755	24652
480	22805	24607
481	22859	24567
482	22899	24511
483	22933	24449
484	22970	24391
485	23006	24331
486	23043	24273
487	23083	24218
488	23125	24165
489	23164	24109
490	23201	24051
491	23240	23995
492	23284	23945
493	23330	23897
494	23386	23859
495	23430	23808
496	23478	23761
497	23514	23703
498	23557	23651
499	23594	23594
500	23631	23536
501	23671	23483
502	23708	23426
503	23745	23368
504	23798	23326
505	23852	23286
506	23895	23235
507	23931	23177
508	23977	23129
509	24020	23078
510	24056	23020
511	24103	22973
512	24138	22915
513	24178	22861
514	24221	22810
515	24263	22758
516	24312	22713
517	24358	22665
518	24402	22615
519	24443	22563
520	24477	22504
521	24514	22448
522	24548	22389
523	24583	22331
524	24623	22278
525	24660	22222
526	24696	22166
527	24745	22120
528	24790	22072
529	24845	22032
530	24905	21997
531	24956	21953
532	24988	21894
533	25022	21835
534	25061	21782
535	25107	21735
536	25149	21683
537	25183	21626
538	25220	21570
539	25258	21516
540	25293	21459
541	25329	21404
542	25377	21358
543	25425	21312
544	25476	21269
545	25510	21212
546	25544	21154
547	25588	21106
548	25626	21051
549	25661	20995
550	25703	20945
551	25739	20889
552	25778	20836
553	25879	20834
554	25968	20821
555	26077	20824
556	26120	20774
557	26158	20720
558	26198	20668
559	26235	20613
560	26267	20555
561	26305	20501
562	26345	20449
563	26383	20396
564	26419	20340
565	26458	20287
566	26517	20250
567	26560	20201
568	26608	20155
569	26722	20158
570	26825	20154
571	26894	20123
572	26923	20063
573	26960	20008
574	27002	19958
575	27057	19917
576	27106	19871
577	27145	19818
578	27184	19766
579	27220	19711
580	27257	19657
581	27296	19604
582	27332	19550
583	27369	19495
584	27415	19448
585	27451	19394
586	27495	19345
587	27536	19294
588	27585	19248
589	27629	19200
590	27663	19144
591	27701	19091
592	27736	19036
593	27774	18983
594	27811	18930
595	27846	18875
596	27881	18821
597	27921	18770
598	27956	18715
599	27991	18660
600	28037	18613
601	28088	18570
602	28151	18534
603	28184	18478
604	28222	18426
605	28258	18372
606	28296	18320
607	28338	18270
608	28380	18221
609	28421	18171
610	28470	18126
611	28512	18076
612	28570	18037
613	28620	17992
614	28670	17948
615	28704	17893
616	28737	17838
617	28774	17785
618	28813	17734
619	28858	17687
620	28900	17638
621	28940	17587
622	28993	17545
623	29035	17495
624	29084	17450
625	29126	17401
626	29169	17353
627	29208	17301
628	29241	17247
629	29276	17194
630	29315	17143
631	29353	17091
632	29389	17039
633	29432	16991
634	29481	16945
635	29530	16901
636	29580	16856
637	29627	16810
638	29667	16760
639	29701	16707
640	29744	16658
641	29779	16605
642	29815	16553
643	29854	16503
644	29889	16450
645	29924	16398
646	29959	16345
647	29998	16295
648	30039	16246
649	30084	16199
650	30127	16151
651	30175	16105
652	30208	16052
653	30248	16003
654	30284	15951
655	30321	15900
656	30362	15851
657	30397	15799
658	30436	15749
659	30483	15703
660	30526	15655
661	30576	15611
662	30618	15563
663	30663	15516
664	30706	15468
665	30742	15417
666	30781	15367
667	30820	15317
668	30855	15266
669	30893	15216
670	30928	15164
671	30963	15113
672	31005	15065
673	31043	15014
674	31095	14971
675	31143	14926
676	31188	14880
677	31230	14832
678	31276	14786
679	31321	14739
680	31363	14691
681	31402	14642
682	31436	14590
683	31475	14541
684	31512	14491
685	31553	14442
686	31610	14401
687	31658	14356
688	31699	14308
689	31738	14259
690	31777	14210
691	31818	14161
692	31855	14111
693	31888	14060
694	31933	14014
695	31976	13966
696	32020	13919
697	32058	13870
698	32101	13823
699	32150	13778
700	32190	13730
701	32227	13680
702	32265	13631
703	32301	13581
704	32339	13532
705	32376	13482
706	32412	13432
707	32450	13383
708	32485	13333
709	32531	13287
710	32577	13241
711	32633	13199
712	32691	13158
713	32729	13110
714	32771	13062
715	32807	13013
716	32843	12963
717	32886	12916
718	32921	12866
719	32963	12819
720	33002	12770
721	33040	12721
722	33075	12672
723	33120	12625
724	33166	12580
725	33215	12535
726	33256	12488
727	33302	12442
728	33343	12395
729	33387	12348
730	33426	12300
731	33460	12250
732	33497	12201
733	33535	12153
734	33575	12105
735	33612	12056
736	33656	12010
737	33710	11967
738	33750	11919
739	33786	11870
740	33826	11823
741	33861	11774
742	33901	11726
743	33953	11683
744	34001	11637
745	34049	11593
746	34088	11545
747	34139	11501
748	34201	11461
749	34265	11421
750	34300	11372
751	34337	11324
752	34377	11276
753	34414	11228
754	34450	11179
755	34486	11130
756	34526	11082
757	34561	11034
758	34598	10985
759	34633	10936
760	34680	10891
761	34727	10846
762	34776	10802
763	34813	10753
764	34846	10704
765	34894	10659
766	34931	10611
767	34966	10562
768	35004	10515
769	35040	10466
770	35075	10417
771	35115	10370
772	35155	10323
773	35202	10278
774	35251	10234
775	35288	10186
776	35327	10139
777	35362	10090
778	35404	10044
779	35439	9995
780	35476	9947
781	35515	9900
782	35557	9854
783	35599	9808
784	35650	9764
785	35707	9721
786	35768	9680
787	35812	9634
788	35854	9588
789	35893	9541
790	35970	9504
791	36050	9467
792	36103	9424
793	36154	9380
794	36205	9335
795	36252	9290
796	36304	9247
797	36349	9201
798	36397	9156
799	36444	9111
800	36486	9064
801	36529	9018
802	36571	8972
803	36610	8924
804	36648	8877
805	36702	8834
806	36756	8790
807	36810	8747
808	36861	8702
809	36908	8657
810	36957	8612
811	37002	8567
812	37043	8520
813	37086	8474
814	37120	8426
815	37166	8380
816	37237	8340
817	37316	8302
818	37386	8262
819	37433	8217
820	37498	8175
821	37551	8131
822	37593	8085
823	37628	8037
824	37663	7989
825	37700	7941
826	37740	7894
827	37797	7851
828	37863	7810
829	37939	7770
830	38001	7728
831	38053	7683
832	38110	7640
833	38161	7595
834	38218	7552
835	38273	7508
836	38321	7462
837	38371	7417
838	38420	7372
839	38494	7332
840	38569	7292
841	38612	7245
842	38652	7198
843	38696	7152
844	38744	7107
845	38791	7061
846	38826	7013
847	38871	6967
848	38936	6925
849	39001	6882
850	39046	6836
851	39088	6789
852	39126	6742
853	39170	6696
854	39243	6655
855	39289	6609
856	39330	6562
857	39544	6544
858	39669	6511
859	39762	6472
860	39944	6448
861	40035	6409
862	40120	6369
863	40173	6323
864	40224	6277
865	40290	6234
866	40374	6193
867	40442	6150
868	40498	6104
869	40546	6058
870	40595	6012
871	40642	5965
872	40686	5918
873	40730	5871
874	40781	5825
875	40828	5779
876	40871	5732
877	40920	5686
878	40984	5641
879	41036	5595
880	41111	5553
881	41175	5508
882	41220	5461
883	41266	5415
884	41337	5371
885	41402	5327
886	41450	5280
887	41498	5234
888	41549	5187
889	41627	5144
890	41735	5105
891	41816	5063
892	41892	5019
893	41949	4973
894	42011	4928
895	42057	4881
896	42115	4836
897	42156	4788
898	42199	4741
899	42349	4705
900	42472	4666
901	42522	4619
902	42582	4574
903	42652	4529
904	42710	4483
905	42768	4437
906	42824	4391
907	42876	4344
908	42923	4297
909	42966	4249
910	43007	4201
911	43044	4153
912	43094	4106
913	43150	4060
914	43218	4014
915	43281	3969
916	43336	3922
917	43392	3875
918	43458	3830
919	43517	3784
920	43572	3737
921	43617	3689
922	43666	3642
923	43721	3596
924	43782	3549
925	43830	3502
926	43881	3455
927	43931	3408
928	43980	3361
929	44025	3313
930	44069	3266
931	44118	3218
932	44161	3171
933	44209	3123
934	44278	3078
935	44345	3032
936	44508	2992
937	44656	2951
938	44785	2909
939	44978	2870
940	45253	2837
941	45372	2793
942	45424	2745
943	45472	2697
944	45522	2649
945	45569	2601
946	45618	2553
947	45663	2504
948	45728	2457
949	45782	2409
950	45839	2361
951	45898	2314
952	45949	2266
953	46007	2218
954	46072	2170
955	46124	2122
956	46201	2075
957	46268	2028
958	46325	1980
959	46388	1932
960	46435	1884
961	46492	1836
962	46552	1788
963	46602	1740
964	46656	1692
965	46715	1644
966	46764	1595
967	46834	1548
968	46936	1501
969	47118	1457
970	47200	1409
971	47251	1361
972	47295	1312
973	47358	1264
974	47443	1216
975	47516	1168
976	47577	1120
977	47641	1071
978	47755	1024
979	47864	976
980	47986	929
981	48054	880
982	48114	832
983	48160	783
984	48207	734
985	48243	684
986	48296	636
987	48344	587
988	48394	538
989	48442	489
990	48494	440
991	48531	391
992	48574	342
993	48608	293
994	48646	244
995	48687	195
996	48738	146
997	48778	97
998	48824	48
999	48871	0
